Year	association	cancer	effect	family	genomewide	haplotype	interaction	linkage	locus	mendelian	polygenic	population	randomization	rare	risk	score	snp	test	trait	variant
1997	4	7	1	16	0	0	4	10	1	0	0	1	0	0	0	0	0	3	5	0
1998	2	7	1	8	1	1	2	11	3	0	0	0	0	0	8	0	0	6	4	0
1999	14	6	8	11	2	4	7	24	6	0	0	9	1	0	3	1	2	8	14	0
2000	6	11	14	10	2	1	10	38	8	0	1	8	1	0	4	4	4	6	9	0
2001	3	10	2	5	3	2	6	14	4	0	0	0	0	0	2	1	0	4	5	0
2002	23	13	12	18	7	17	13	30	15	0	1	5	0	1	6	1	9	7	9	1
2003	26	11	11	15	8	13	7	26	11	0	1	5	0	0	6	3	9	11	14	1
2004	39	15	14	15	9	11	8	38	11	0	0	16	0	0	15	8	8	14	11	2
2005	44	17	21	19	9	20	14	42	15	2	0	12	0	1	12	8	9	8	21	2
2006	57	12	11	20	14	14	15	33	11	0	3	14	0	2	12	3	14	15	21	3
2007	55	7	9	13	26	10	9	29	9	2	0	7	1	2	13	6	17	8	14	5
2008	64	16	15	17	28	8	21	23	9	0	0	9	0	3	12	4	21	15	11	8
2009	78	22	15	17	43	4	32	20	13	2	0	21	1	12	16	3	14	14	12	28
2010	96	19	16	22	41	10	34	8	22	1	2	15	1	17	14	2	13	20	21	23
2011	52	21	10	14	22	0	18	12	8	3	0	13	1	20	16	4	10	19	8	21
2012	65	19	10	12	22	1	26	11	13	0	0	12	0	19	13	1	11	18	11	23
2013	44	10	10	8	19	2	10	3	6	3	3	13	2	13	7	3	0	8	10	9
2014	50	16	18	10	1	6	17	6	8	4	3	17	1	17	21	3	11	9	12	25
2015	56	13	21	6	16	1	16	10	6	4	3	9	3	21	11	4	4	15	27	18
2016	49	12	11	8	16	1	18	2	7	2	5	10	2	7	26	4	4	13	13	12
2017	35	14	13	12	18	0	9	3	8	5	6	12	4	8	21	8	3	9	17	18
2018	32	14	9	12	0	1	15	4	5	5	3	10	4	10	17	5	5	8	15	10
2019	37	21	7	6	1	0	12	2	5	5	6	8	5	5	26	9	6	9	8	10
2020	30	25	14	4	0	2	15	0	7	10	14	11	8	9	24	16	3	6	7	10
2021	28	14	10	6	13	1	7	0	8	17	12	11	14	3	30	16	4	6	11	11
2022	30	27	16	1	10	1	12	3	9	23	18	13	23	11	44	17	3	8	23	14
2023	22	10	11	1	8	1	5	2	11	11	16	14	11	7	27	15	0	1	11	8
